Ligand,Protein,Binding_Energy,Mol_Weight,LogP,HBond_Donors,HBond_Acceptors,Rotatable_Bonds,TPSA,Aromatic_Rings,Lipinski_Pass
C8.2,6MOJ,-7.64,563.4,4.94,4,5,6,125.63,4,False
NSC281245,6MOJ,-6.337,390.52,3.95,1,5,6,72.83,0,True
NSC36398,6MOJ,-6.395,304.25,1.19,5,7,1,127.45,2,True
Amprenavir,6MOJ,-5.716,505.64,2.4,3,7,11,131.19,2,False
Azithromycin,6MOJ,-6.386,749.0,1.9,5,14,7,180.08,0,False
Camostat,6MOJ,-6.658,398.42,0.98,2,6,7,137.31,2,True
Cetirizine,6MOJ,-6.3,388.9,3.15,1,4,8,53.01,2,True
Chloroquine,6MOJ,-5.38,319.88,4.81,1,3,8,28.16,2,True
Chlorpromazine,6MOJ,-5.233,318.87,4.89,0,3,4,6.48,2,True
CKP-25,6MOJ,-7.343,288.35,4.25,0,2,3,27.05,4,True
Clarithromycin,6MOJ,-6.336,747.96,2.44,4,14,8,182.91,0,False
Clemastine,6MOJ,-6.866,343.9,5.1,0,2,6,12.47,2,False
Clofazimine,6MOJ,-7.183,473.41,7.49,1,3,4,42.21,3,False
Dactinomycin,6MOJ,-6.922,1255.44,0.73,5,18,8,359.98,1,False
Diphenhydramine,6MOJ,-5.598,255.36,3.35,0,2,6,12.47,2,True
Dolutegravir,6MOJ,-7.166,419.38,1.35,2,5,3,100.87,2,True
Doxycycline,6MOJ,-6.616,444.44,-0.5,6,9,2,181.62,1,False
Erythromycin,6MOJ,-6.055,733.94,1.79,5,14,7,193.91,0,False
Etravirine,6MOJ,-6.052,435.29,4.72,2,7,4,120.64,3,True
Fagaronine,6MOJ,-6.292,350.39,3.7,1,4,3,51.8,4,True
Favipiravir,6MOJ,-4.246,157.1,-0.99,2,3,1,88.84,1,True
Linezolid,6MOJ,-6.279,337.35,1.12,1,5,4,71.11,1,True
Loratadine,6MOJ,-6.743,382.89,4.89,0,3,1,42.43,2,True
Lumacaftor,6MOJ,-8.607,452.41,4.75,2,5,5,97.75,3,True
Minocycline,6MOJ,-6.799,457.48,0.03,5,9,3,164.63,1,True
Nelfinavir,6MOJ,-6.792,567.8,4.75,4,6,9,101.9,2,False
Niclosamide,6MOJ,-6.661,327.12,3.86,2,4,3,92.47,2,True
Phenyl Carbamate,6MOJ,-5.017,137.14,1.14,1,2,1,52.32,1,True
Promethazine,6MOJ,-5.383,284.43,4.24,0,3,3,6.48,2,True
Quiniline 2 carboxylic acid,6MOJ,-5.815,185.12,1.93,1,2,1,50.19,2,True
Radotinib,6MOJ,-8.03,530.51,5.75,2,7,6,110.51,5,False
Rifabutin,6MOJ,-7.555,847.02,4.75,5,14,4,209.04,2,False
Ritonavir,6MOJ,-6.812,720.96,5.91,4,9,17,145.78,4,False
Rutaecarpine,6MOJ,-7.02,287.32,3.1,1,2,0,50.68,4,True
Sodium lifitegrast,6MOJ,-7.514,615.49,4.77,2,6,7,133.99,4,False
SSAA09E3,6MOJ,-7.89,327.34,3.71,1,3,2,63.24,3,True
Toremifene,6MOJ,-5.74,405.97,6.22,0,2,9,12.47,3,False
Angeloylgomisin O,6MOJ,-5.926,498.57,5.5,0,8,6,81.68,2,False
Cannabigerovarinic acid,6MOJ,-5.447,332.44,4.98,3,3,8,77.76,1,True
Cannabinolic acid,6MOJ,-6.389,354.45,5.43,2,3,5,66.76,2,False
Corylifol A,6MOJ,-7.411,390.48,6.11,2,4,6,70.67,3,False
Theaflavin,6MOJ,-7.89,564.5,2.21,9,12,2,217.6,4,False
Abemaciclib,6VXX,-9.43,506.61,4.94,1,7,7,75.0,4,False
Aspirin,6VXX,-5.837,180.16,1.31,1,3,2,63.6,1,True
Brazilin,6VXX,-8.34,286.28,1.61,4,5,0,90.15,2,True
Catechin gallate,6VXX,-8.616,442.38,2.53,7,10,3,177.14,3,False
Celecoxib,6VXX,-8.34,381.38,3.51,1,3,3,77.98,3,True
ECGC,6VXX,-8.679,458.38,2.23,8,11,3,197.37,3,False
Hesperidin,6VXX,-10.417,302.28,2.52,3,6,2,96.22,2,True
Ibuprofen,6VXX,-6.252,206.28,3.07,1,1,4,37.3,1,True
Indomethacin,6VXX,-7.844,357.79,3.93,1,3,4,68.53,3,True
Meloxicam,6VXX,-8.23,351.41,1.95,2,6,2,99.6,2,True
Naproxen,6VXX,-6.472,230.26,3.04,1,2,3,46.53,2,True
