Ligand,Binding Energy (kcal/mol),Protein (PDB)
C8.2,-7.64,6MOJ
NSC281245,-6.337,6MOJ
NSC36398,-6.395,6MOJ
Amprenavir,-5.716,6MOJ
Azithromycin,-6.386,6MOJ
Camostat,-6.658,6MOJ
Cetirizine,-6.3,6MOJ
Chloroquine,-5.38,6MOJ
Chlorpromazine,-5.233,6MOJ
CKP-25,-7.343,6MOJ
Clarithromycin,-6.336,6MOJ
Clemastine,-6.866,6MOJ
Clofazimine,-7.183,6MOJ
Dactinomycin,-6.922,6MOJ
Diphenhydramine,-5.598,6MOJ
Dolutegravir,-7.166,6MOJ
Doxycycline,-6.616,6MOJ
Erythromycin,-6.055,6MOJ
Etravirine,-6.052,6MOJ
Fagaronine,-6.292,6MOJ
Favipiravir,-4.246,6MOJ
Linezolid,-6.279,6MOJ
Loratadine,-6.743,6MOJ
Lumacaftor,-8.607,6MOJ
Minocycline,-6.799,6MOJ
Nelfinavir,-6.792,6MOJ
Niclosamide,-6.661,6MOJ
Phenyl Carbamate,-5.017,6MOJ
Promethazine,-5.383,6MOJ
Quiniline 2 carboxylic acid,-5.815,6MOJ
Radotinib,-8.03,6MOJ
Rifabutin,-7.555,6MOJ
Ritonavir,-6.812,6MOJ
Rutaecarpine,-7.02,6MOJ
Sodium lifitegrast,-7.514,6MOJ
SSAA09E3,-7.89,6MOJ
Toremifene,-5.74,6MOJ
Angeloylgomisin O,-5.926,6MOJ
Cannabigerovarinic acid ,-5.447,6MOJ
Cannabinolic acid,-6.389,6MOJ
Corylifol A,-7.411,6MOJ
Theaflavin,-7.89,6MOJ
Abemaciclib,-9.43,6VXX
Aspirin,-5.837,6VXX
Brazilin,-8.34,6VXX
Catechin gallate,-8.616,6VXX
Celecoxib,-8.34,6VXX
ECGC,-8.679,6VXX
Hesperidin,-10.417,6VXX
Ibuprofen,-6.252,6VXX
Indomethacin,-7.844,6VXX
Meloxicam,-8.23,6VXX
Naproxen,-6.472,6VXX
Nimesulide,-6.84,6VXX
Paracetamol,-5.239,6VXX
Procyanidin,-9.374,6VXX
Pterostilbene,-6.927,6VXX
Resveratrol,-6.748,6VXX
Afzelechin,-7.573,7DWZ
Andrographolide,-8.067,7DWZ
Atorvastatin,-8.377,7DWZ
Chrysosplenetin,-7.207,7DWZ
Curcumin,-6.941,7DWZ
Digoxin,-12.298,7DWZ
Dihydrokaempferol,-7.711,7DWZ
Emodin,-7.402,7DWZ
Ilimaquinone,-7.888,7DWZ
Isorhamnetin,-7.502,7DWZ
Kaempferol,-7.694,7DWZ
Lovastatin,-7.206,7DWZ
Mevastatin,-8.163,7DWZ
Ouabain,-9.261,7DWZ
Oxyberberine,-8.583,7DWZ
Pravastatin,-6.849,7DWZ
Retusin,-7.366,7DWZ
Rhamnocitrin,-7.797,7DWZ
Rhein,-7.711,7DWZ
Rosuvastatin,-7.596,7DWZ
Schisandrin B,-7.886,7DWZ
Simvastatin,-7.68,7DWZ
β-caryophyllene,-6.649,7DWZ
Calpeptin,-6.731,7DWZ
Ferulic acid,-5.791,7DWZ
Erythrodiol,-5.97,7DWZ
